Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn,CandidatePositiveExpectedReturn,StrategyNumber,Strategy,MinimumExpectedReturn,SelectionFold,SelectionTrainingStart,SelectionTrainingEnd,SelectedHistoricalROI
2022-23,2023-03-11,Everton,Brentford,H,0.5471006756348233,0.32715942530725295,2.99,A,0,0.2199412503275704,0.2199412503275704,0.33444816053511706,0.21265251509970629,0.6358310201481219,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2023-03-12,Fulham,Arsenal,A,0.2010751140379822,0.12386226841008363,7.83,H,0,0.07721284562789857,0.07721284562789857,0.1277139208173691,0.0733611932206131,0.5744181429174007,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2023-03-15,Brighton,Crystal Palace,H,0.2157145886693261,0.10322685997060682,9.54,A,0,0.11248772869871929,0.11248772869871929,0.10482180293501049,0.11089278573431562,1.057917175905371,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2023-03-17,Nott'm Forest,Newcastle,A,0.2835615400104613,0.1781734129495611,5.48,H,0,0.1053881270609002,0.1053881270609002,0.18248175182481752,0.10107978818564378,0.5539172392573279,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2023-04-01,Chelsea,Aston Villa,A,0.2535825618596213,0.1613045277148021,6.06,A,1,0.0922780341448192,0.0922780341448192,0.16501650165016502,0.08856606020945629,0.536710324869305,True,5.06,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2023-04-04,Chelsea,Liverpool,D,0.495369399674726,0.2794738533882787,3.5,A,0,0.2158955462864473,0.2158955462864473,0.2857142857142857,0.2096551139604403,0.733792898861541,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2023-04-08,Aston Villa,Nott'm Forest,H,0.2819703105746792,0.15961691939345568,6.12,A,0,0.12235339118122351,0.12235339118122351,0.16339869281045752,0.11857161776422168,0.7256583007170367,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2023-04-16,Nott'm Forest,Man United,A,0.3070922696348525,0.18905238246540523,5.14,H,0,0.11803988716944724,0.11803988716944724,0.19455252918287938,0.1125397404519731,0.5784542659231415,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2023-05-25,Man United,Chelsea,H,0.2774131097605609,0.14924538358114348,6.53,A,0,0.1281677261794174,0.1281677261794174,0.15313935681470137,0.12427375294585952,0.8115076067364626,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2023-24,2023-08-12,Brighton,Luton,H,0.2070253217509221,0.08524389471684574,11.36,A,0,0.12178142703407635,0.12178142703407635,0.08802816901408451,0.11899715273683757,1.3518076550904747,True,-1.0,True,7,Expected return >= 50%,0.5,3,2020-21,2022-23,0.011944444444444436
