BootstrapIteration,SampledBets,BootstrapProfit,BootstrapROI
521,182,35.230000000000004,0.1935714285714286
522,183,59.57000000000001,0.32551912568306013
523,183,5.770000000000003,0.03153005464480876
524,176,-3.5400000000000045,-0.02011363636363639
525,173,13.490000000000009,0.07797687861271682
526,183,12.529999999999998,0.06846994535519124
527,177,-8.89,-0.05022598870056497
528,172,1.3900000000000077,0.008081395348837254
529,187,37.199999999999996,0.19893048128342244
530,178,52.3,0.29382022471910113
531,186,71.65,0.3852150537634409
532,180,34.559999999999995,0.19199999999999998
533,172,-12.590000000000005,-0.07319767441860468
534,190,9.120000000000001,0.04800000000000001
535,184,33.459999999999994,0.1818478260869565
536,170,20.509999999999998,0.1206470588235294
537,168,1.3899999999999997,0.008273809523809522
538,175,42.17999999999999,0.2410285714285714
539,171,6.089999999999996,0.03561403508771928
540,171,29.429999999999996,0.1721052631578947
541,185,-5.289999999999999,-0.02859459459459459
542,168,17.98999999999999,0.10708333333333328
543,183,46.75999999999999,0.25551912568306007
544,178,56.58000000000001,0.3178651685393259
545,194,27.839999999999996,0.14350515463917524
546,186,11.52,0.06193548387096774
547,178,-0.7600000000000016,-0.004269662921348324
548,169,11.020000000000007,0.06520710059171601
549,184,-31.629999999999995,-0.17190217391304347
550,181,8.14,0.04497237569060774
551,179,49.160000000000004,0.2746368715083799
552,175,-1.0599999999999987,-0.0060571428571428495
553,179,12.79000000000001,0.0714525139664805
554,175,30.389999999999993,0.17365714285714282
555,182,21.700000000000003,0.11923076923076925
556,174,-31.6,-0.18160919540229886
557,182,-5.299999999999997,-0.029120879120879104
558,177,2.650000000000002,0.014971751412429391
559,180,25.849999999999994,0.14361111111111108
560,174,3.8800000000000026,0.022298850574712658
561,175,-13.9,-0.07942857142857143
562,183,15.509999999999998,0.08475409836065573
563,174,-6.300000000000001,-0.03620689655172414
564,191,15.559999999999999,0.08146596858638742
565,175,34.849999999999994,0.19914285714285712
566,196,143.11,0.7301530612244899
567,179,6.620000000000003,0.0369832402234637
568,179,-26.520000000000003,-0.1481564245810056
569,180,43.4,0.2411111111111111
570,177,16.43,0.09282485875706215
571,187,-33.73,-0.18037433155080212
572,174,-37.89,-0.21775862068965518
573,181,47.85,0.26436464088397793
574,179,23.61,0.13189944134078213
575,184,-0.3699999999999939,-0.002010869565217358
576,179,19.129999999999995,0.10687150837988824
577,179,-4.67,-0.026089385474860335
578,176,58.46,0.3321590909090909
579,174,0.9999999999999964,0.005747126436781589
580,194,-13.400000000000002,-0.06907216494845361
581,180,-31.849999999999998,-0.17694444444444443
582,166,-49.25,-0.29668674698795183
583,180,-33.93000000000001,-0.18850000000000003
584,189,33.260000000000005,0.175978835978836
585,182,14.139999999999993,0.07769230769230766
586,177,-46.370000000000005,-0.26197740112994355
587,184,1.7600000000000016,0.009565217391304356
588,172,-18.65,-0.10843023255813952
589,183,-0.9299999999999962,-0.005081967213114733
590,178,-7.589999999999996,-0.04264044943820223
591,177,-4.550000000000004,-0.02570621468926556
592,173,38.59,0.22306358381502892
593,166,18.759999999999994,0.11301204819277105
594,182,-12.510000000000002,-0.06873626373626375
595,180,41.040000000000006,0.22800000000000004
596,184,-20.720000000000006,-0.11260869565217395
597,174,-12.8,-0.0735632183908046
598,177,-35.67999999999999,-0.20158192090395477
599,184,-5.170000000000002,-0.02809782608695653
600,188,92.68,0.49297872340425536
601,190,37.529999999999994,0.19752631578947366
602,183,13.64,0.07453551912568307
603,177,7.729999999999997,0.04367231638418077
604,182,19.0,0.1043956043956044
605,185,32.0,0.17297297297297298
606,195,23.260000000000005,0.11928205128205131
607,175,-21.749999999999996,-0.12428571428571426
608,182,-0.6799999999999997,-0.0037362637362637345
609,172,0.40999999999999925,0.002383720930232554
610,202,18.58999999999999,0.09202970297029697
611,185,-76.83,-0.4152972972972973
612,180,60.82000000000001,0.3378888888888889
613,169,-22.569999999999997,-0.13355029585798814
614,178,-7.370000000000001,-0.041404494382022476
615,168,12.68,0.07547619047619047
616,175,22.490000000000002,0.12851428571428572
617,180,32.44,0.1802222222222222
618,177,14.619999999999997,0.08259887005649716
