StrategyNumber,Strategy,Date,OpeningBankroll,Bets,WinningBets,DailyStaked,DailyExposureFraction,DailyProfit,ClosingBankroll,DailyExposureScale,DailyCapBinding,RunningBankrollPeak,DrawdownUnits,DrawdownPercentage
1,Flat stake,2025-02-22,105.8,1,1,1.0,0.00945179584120983,1.6800000000000002,107.48,1.0,False,112.00999999999999,4.529999999999987,0.040442817605570815
1,Flat stake,2025-02-23,107.48,1,0,1.0,0.009304056568663937,-1.0,106.48,1.0,False,112.00999999999999,5.529999999999987,0.04937059191143637
1,Flat stake,2025-04-12,106.48,1,0,1.0,0.009391435011269721,-1.0,105.48,1.0,False,112.00999999999999,6.529999999999987,0.05829836621730192
1,Flat stake,2025-04-13,105.48,1,0,1.0,0.009480470231323474,-1.0,104.48,1.0,False,112.00999999999999,7.529999999999987,0.06722614052316746
1,Flat stake,2025-04-26,104.48,2,0,2.0,0.01914241960183767,-2.0,102.48,1.0,False,112.00999999999999,9.529999999999987,0.08508168913489857
1,Flat stake,2025-04-27,102.48,1,0,1.0,0.00975800156128025,-1.0,101.48,1.0,False,112.00999999999999,10.529999999999987,0.09400946344076411
1,Flat stake,2025-05-04,101.48,1,0,1.0,0.009854158454867954,-1.0,100.48,1.0,False,112.00999999999999,11.529999999999987,0.10293723774662966
1,Flat stake,2025-05-10,100.48,2,1,2.0,0.019904458598726114,2.9400000000000004,103.42,1.0,False,112.00999999999999,8.58999999999999,0.07668958128738497
1,Flat stake,2025-05-16,103.42,1,0,1.0,0.009669309611293753,-1.0,102.42,1.0,False,112.00999999999999,9.58999999999999,0.08561735559325051
1,Flat stake,2025-05-19,102.42,1,0,1.0,0.009763718023823472,-1.0,101.42,1.0,False,112.00999999999999,10.58999999999999,0.09454512989911606
1,Flat stake,2025-05-25,101.42,5,2,5.0,0.04929994084007099,10.18,111.6,1.0,False,112.00999999999999,0.4099999999999966,0.0036603874654048446
2,Quarter Kelly,2021-08-14,100.0,1,0,2.0,0.02,-2.0,98.0,1.0,False,100.0,2.0,0.02
2,Quarter Kelly,2021-08-15,98.0,1,1,1.96,0.02,9.7412,107.74119999999999,1.0,False,107.74119999999999,0.0,0.0
2,Quarter Kelly,2021-08-21,107.74119999999999,2,0,4.309648,0.04,-4.309648,103.431552,1.0,False,107.74119999999999,4.309647999999996,0.039999999999999966
2,Quarter Kelly,2021-08-28,103.431552,2,0,3.795439958590448,0.03669518522346497,-3.795439958590448,99.63611204140955,1.0,False,107.74119999999999,8.105087958590445,0.07522737781452635
2,Quarter Kelly,2021-08-29,99.63611204140955,1,0,1.992722240828191,0.02,-1.992722240828191,97.64338980058136,1.0,False,107.74119999999999,10.097810199418632,0.09372283025823577
2,Quarter Kelly,2021-09-11,97.64338980058136,2,0,2.408581454632415,0.02466712247036383,-2.408581454632415,95.23480834594895,1.0,False,107.74119999999999,12.506391654051043,0.11607808019635055
2,Quarter Kelly,2021-09-18,95.23480834594895,4,2,6.6128495996617485,0.06943731724266175,9.938960090864178,105.17376843681313,1.0,False,107.74119999999999,2.567431563186858,0.02382961729762485
2,Quarter Kelly,2021-10-23,105.17376843681313,1,0,2.103475368736263,0.02,-2.103475368736263,103.07029306807686,1.0,False,107.74119999999999,4.670906931923128,0.04335302495167241
2,Quarter Kelly,2021-11-06,103.07029306807686,1,0,2.0614058613615374,0.02,-2.0614058613615374,101.00888720671533,1.0,False,107.74119999999999,6.732312793284663,0.06248596445263895
2,Quarter Kelly,2021-11-07,101.00888720671533,1,0,2.0201777441343065,0.02,-2.0201777441343065,98.98870946258103,1.0,False,107.74119999999999,8.752490537418964,0.08123624516358612
2,Quarter Kelly,2021-11-20,98.98870946258103,1,1,1.9797741892516205,0.02,11.047139976024043,110.03584943860507,1.0,False,110.03584943860507,0.0,0.0
2,Quarter Kelly,2021-11-21,110.03584943860507,1,0,2.2007169887721014,0.02,-2.2007169887721014,107.83513244983297,1.0,False,110.03584943860507,2.2007169887721005,0.019999999999999993
2,Quarter Kelly,2021-11-28,107.83513244983297,1,0,1.877469004774528,0.017410550366300737,-1.877469004774528,105.95766344505844,1.0,False,110.03584943860507,4.078185993546626,0.03706233935897469
2,Quarter Kelly,2021-12-01,105.95766344505844,2,0,4.2383065378023375,0.039999999999999994,-4.2383065378023375,101.7193569072561,1.0,False,110.03584943860507,8.31649253134897,0.07557984578461577
2,Quarter Kelly,2021-12-02,101.7193569072561,1,0,2.034387138145122,0.02,-2.034387138145122,99.68496976911098,1.0,False,110.03584943860507,10.350879669494091,0.09406824886892344
2,Quarter Kelly,2021-12-04,99.68496976911098,1,1,1.9936993953822195,0.02,7.8153016298983005,107.50027139900928,1.0,False,110.03584943860507,2.5355780395957908,0.023043199580247038
2,Quarter Kelly,2021-12-05,107.50027139900928,1,0,2.1500054279801857,0.02,-2.1500054279801857,105.35026597102909,1.0,False,110.03584943860507,4.685583467575981,0.04258233558864214
2,Quarter Kelly,2021-12-11,105.35026597102909,1,0,1.0091903776015174,0.009579381393104797,-1.0091903776015174,104.34107559342758,1.0,False,110.03584943860507,5.694773845177494,0.051753804548534114
2,Quarter Kelly,2021-12-14,104.34107559342758,1,0,0.8627715364084074,0.008268762148573762,-0.8627715364084074,103.47830405701917,1.0,False,110.03584943860507,6.557545381585896,0.059594626797012225
2,Quarter Kelly,2021-12-19,103.47830405701917,1,0,1.590559346038514,0.015370945248214305,-1.590559346038514,101.88774471098066,1.0,False,110.03584943860507,8.148104727624414,0.07404954629964193
2,Quarter Kelly,2021-12-26,101.88774471098066,2,0,4.075509788439226,0.04,-4.075509788439226,97.81223492254144,1.0,False,110.03584943860507,12.223614516063634,0.11108756444765619
2,Quarter Kelly,2021-12-28,97.81223492254144,1,1,1.9562446984508288,0.02,14.221898957737524,112.03413388027896,1.0,False,112.03413388027896,0.0,0.0
2,Quarter Kelly,2022-01-23,112.03413388027896,1,0,2.2406826776055793,0.02,-2.2406826776055793,109.79345120267338,1.0,False,112.03413388027896,2.2406826776055766,0.019999999999999976
2,Quarter Kelly,2022-02-08,109.79345120267338,1,0,2.1958690240534677,0.02,-2.1958690240534677,107.59758217861992,1.0,False,112.03413388027896,4.436551701659042,0.039599999999999955
