Season,Date,HomeTeam,AwayTeam,EvaluationSeason,ActualOutcome,ComparisonLogLoss,PoissonLogLoss,ComparisonModel,LossDifference
2020-21,2020-12-26,Aston Villa,Crystal Palace,2020-21,H,1.1057392865114324,0.9052791104702756,Tuned Logistic Regression,0.20046017604115673
2020-21,2020-12-26,Fulham,Southampton,2020-21,D,1.3501172138021504,1.512536450238505,Tuned Logistic Regression,-0.16241923643635459
2020-21,2020-12-26,Leicester,Man United,2020-21,D,1.853816076646438,1.3764358265193863,Tuned Logistic Regression,0.47738025012705165
2020-21,2020-12-26,Man City,Newcastle,2020-21,H,0.35480054729661664,0.3985899060360581,Tuned Logistic Regression,-0.04378935873944145
2020-21,2020-12-26,Sheffield United,Everton,2020-21,A,0.7177674601901329,0.8100087585210606,Tuned Logistic Regression,-0.09224129833092765
2020-21,2020-12-27,Leeds,Burnley,2020-21,H,0.5472720936488955,0.7432953003971001,Tuned Logistic Regression,-0.19602320674820461
2020-21,2020-12-27,Liverpool,West Brom,2020-21,D,2.712357866822469,2.896659673731029,Tuned Logistic Regression,-0.18430180690856002
2020-21,2020-12-27,West Ham,Brighton,2020-21,D,1.2021903639907479,1.3363183455002805,Tuned Logistic Regression,-0.13412798150953265
2020-21,2020-12-27,Wolves,Tottenham,2020-21,D,1.3590357113664506,1.3512285634008525,Tuned Logistic Regression,0.007807147965598116
2020-21,2020-12-28,Chelsea,Aston Villa,2020-21,D,1.8948119897031577,1.7527253425134757,Tuned Logistic Regression,0.142086647189682
2020-21,2020-12-28,Crystal Palace,Leicester,2020-21,D,1.3982570126326164,1.4066618984730253,Tuned Logistic Regression,-0.008404885840408882
2020-21,2020-12-29,Brighton,Arsenal,2020-21,A,1.0501323002330674,1.0778731673989046,Tuned Logistic Regression,-0.027740867165837235
2020-21,2020-12-29,Burnley,Sheffield United,2020-21,H,0.7143877597793694,0.7893901921029224,Tuned Logistic Regression,-0.07500243232355297
2020-21,2020-12-29,Man United,Wolves,2020-21,H,0.33833791729349805,0.370582145731115,Tuned Logistic Regression,-0.03224422843761693
2020-21,2020-12-29,Southampton,West Ham,2020-21,D,1.4580929380346463,1.3230130916575003,Tuned Logistic Regression,0.1350798463771461
2020-21,2020-12-29,West Brom,Leeds,2020-21,A,0.9475792983390072,0.9245547729477525,Tuned Logistic Regression,0.02302452539125477
2020-21,2020-12-30,Newcastle,Liverpool,2020-21,D,1.7996281918704322,3.354464241237481,Tuned Logistic Regression,-1.554836049367049
2020-21,2021-01-01,Everton,West Ham,2020-21,A,1.5897391545380015,1.4466877071701016,Tuned Logistic Regression,0.14305144736789988
2020-21,2021-01-01,Man United,Aston Villa,2020-21,H,0.324939682512492,0.2607663741934408,Tuned Logistic Regression,0.06417330831905121
2020-21,2021-01-02,Brighton,Wolves,2020-21,D,1.6641238408687888,1.3553532079116972,Tuned Logistic Regression,0.3087706329570916
2020-21,2021-01-02,Crystal Palace,Sheffield United,2020-21,H,0.5312188545094306,0.6459662131960138,Tuned Logistic Regression,-0.11474735868658315
2020-21,2021-01-02,Tottenham,Leeds,2020-21,H,0.6894967182512267,0.7025823136943758,Tuned Logistic Regression,-0.013085595443149134
2020-21,2021-01-02,West Brom,Arsenal,2020-21,A,0.7424665071820178,0.7105901580278767,Tuned Logistic Regression,0.03187634915414106
2020-21,2021-01-03,Chelsea,Man City,2020-21,A,1.0312565452357765,0.9914133048106845,Tuned Logistic Regression,0.03984324042509202
2020-21,2021-01-03,Newcastle,Leicester,2020-21,A,0.830985500589326,0.6599291084729371,Tuned Logistic Regression,0.1710563921163889
2020-21,2021-01-04,Southampton,Liverpool,2020-21,H,1.996660864537468,2.450394732821025,Tuned Logistic Regression,-0.453733868283557
