Season,Date,HomeTeam,AwayTeam,EvaluationSeason,ActualOutcome,Fold,Model,CalibrationMethod,CalibrationTrainingStart,CalibrationTrainingEnd,PredictedOutcome,Probability_H,Probability_D,Probability_A
2021-22,2021-11-27,Crystal Palace,Aston Villa,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.43042038727801746,0.2317648239189325,0.3378147888030501
2021-22,2021-11-27,Liverpool,Southampton,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.6452688620258441,0.157565652355148,0.19716548561900793
2021-22,2021-11-27,Norwich,Wolves,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.1377027474346243,0.23833167825223436,0.6239655743131413
2021-22,2021-11-28,Brentford,Everton,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.40155129217146585,0.18618938119916256,0.4122593266293716
2021-22,2021-11-28,Chelsea,Man United,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.549648762109149,0.1672508953613376,0.28310034252951344
2021-22,2021-11-28,Leicester,Watford,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.4447362510150837,0.20621317621853238,0.34905057276638385
2021-22,2021-11-28,Man City,West Ham,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.549648762109149,0.1672508953613376,0.28310034252951344
2021-22,2021-11-30,Leeds,Crystal Palace,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.3319713993871297,0.22982635342185906,0.43820224719101125
2021-22,2021-11-30,Newcastle,Norwich,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.549648762109149,0.1672508953613376,0.28310034252951344
2021-22,2021-12-01,Aston Villa,Man City,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,1.1634643845622526e-12,0.19452465684035394,0.8054753431584826
2021-22,2021-12-01,Everton,Liverpool,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.06922976608896561,0.2190372124729872,0.7117330214380472
2021-22,2021-12-01,Southampton,Leicester,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.15559157212317667,0.233387358184765,0.6110210696920583
2021-22,2021-12-01,Watford,Chelsea,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,1.169456066944239e-12,0.19037656903743427,0.8096234309613962
